conference,global_session,speaker,global_minute,transcript,is_self_intro,is_explanation,has_new_idea,has_decision,introduced_self_early,explained_early,num_explanations,num_new_ideas,num_decisions,total_speaking_duration
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,0.0,"that are of interest, then we we we can work on building a sensor or a platform to monitor them in real time. So I cannot comment much on how to identify these species, perhaps folks with the expertise more on microbiome, metabolomics and things like that, they can help us. But in terms of I was thinking like does the gut micro microbiome basically if it is if it modifies or metabolizes some of those neuroendocrine signals.",False,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,0.7666666666666667,maybe just,False,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,0.8,"The first one maybe it was related to what we discussed about um maybe existing data that are out there, uh data mining and combining with AI to identify first what are some of the potential biomarkers. I don't know if it is really um if it summarizes it the way that we discussed that's one of the things we talked about, right? In terms of the um species identification.",False,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,0.8333333333333334,"various bacteria from like a staff epidermidis or E. coli, ifecalis and you know those they they change them. And so definitely it would be something that we we can develop multiplex diagnostics that they can probe each one of these individual factors, like they can probe the level of those neurochemicals for example, or hormones and at the same time they can look at the metabolic activity and they can measure the metabolic activity of the bacteria cells, their motion and their adhesion and their propagation in in in in situ without needing to disrupt, you know, lyse the cell or takes the I don't know, nucleic acids or RNA out. So in a non-destructive way we can actually look at that. So yeah, these are some of my thoughts.",False,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,1.4166666666666667,"Yeah, there are a lot of data that already exist out there. Um, so um AI needs the data and I think there are a lot of data that are out there. So",False,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,1.6166666666666667,"Some data mining it's not my expertise but uh I'm sure we have some people that work on these um areas that they can mind the data existing data. Um, there are a lot of reports that they I was actually looking at some review papers like studying germ free um mice and then uh uh some specific what is it? Like specific pathogen free, like SPF mice. So uh those data are out there. So um maybe that's one way to mind the mind those data to get the biomarker or species that are involved in these uh mechanisms. So the gut metabolism is going to induce.",True,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,2.5166666666666666,"No, no, no, no, they are secreted. So like in the extracellular solution. Uh, these are in the so whatever they, so let's say they are metabolizing something, they uptake that thing and from the environment. So we can monitor the level of that um metabolite externally and whatever the cell is producing, uh depending what it is, we can make a sensor, have if it is released if if it is permeable. That's the question. But if they are, if their amount is changed in the environment, in the extracellular solution, uh because of these interactions, we can monitor them. We can monitor the level of those neurochemicals, so",False,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,2.55,"So Chris, do you think the one the what you, you know, we if we want to copy what Chris wrote down and divide it between among these three, so uh how they are relevant to these",False,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,3.3666666666666667,"maybe it is also related to the group uh who work on biomarkers. Uh, you know, what are identifying the biomarkers and what are those? Um, so um and and uh I think maybe some of the, you know, maybe there is overlap in terms of like the first question in our group, identifying the novel microbial or metabolomic species. So I think in some sense they're also, you know, we are talking about biomarkers. So it may be related to what the other group is talking about.",False,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,3.3833333333333333,"So first question, first is are we going to um divide them? We talked about so many things. So it seems we want to like divide them into three pieces and where they are relevant, just put them there, right? Am I right or no? I I understood it.",False,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,3.4,"you know, it's uh you you mentioned uh in other fields. Uh, for example, so we work a lot on material engineering and uh like a lot of nano materials. So I know I personally don't work on energy for catalysis, but I know for example, uh there are a lot of computational works starting from the first principle calculations and then uh coupling them with AI uh to really screen a bunch of different transition metal dicalcogenides and chalcogenides to uh see how they interact with hydrogen or oxygen, very simple um molecules to um for energy, for hydrogen evolution reaction or you know, basically for catalysis, you know, catalyzing those reactions. And there has been a lot of uh discoveries actually that way. Um, like um again, I I like in terms of like super conductivity, that's also the same. They were actually started with computational works that they predicted that this is going to be like with this given like just a specific angle. Like if you have two graphene sheets, if you rotate them by 1.1 degree, for example, you are going to get super conductivity. It started with theory, but then people try to do that because you know, think about it. How many different angles can we really try? And we are talking about 1.1 degree. It's it was so specific and actually then people could do it. They just focus on it, finally people one group could get it and it worked. Uh so it seems to be in some sense similar. Meaning we have really the see ocean of different things that could be of um, you know, could be the biomarkers and the only way that could work is machine, AI, which can tell us what are potential biomarkers. And perhaps AI and all these big genomics omics data, they can narrow down. Maybe they are doing it. I'm not the expert in that field. So maybe there is already there, so um, so we we know uh some uh you know, we have some answers, but I I'm not in that field, so I don't know. Is there someone who knows that, you know, how much progress",True,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,3.7,"So in terms of those detection techniques, um really if we identify, so maybe it's a separate thing by itself. Um if we identify what are those uh biomarkers or species, then we can think about building diagnostics or sensors in for real time analysis or in situ analysis for them.",False,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,4.0,[low confidence],False,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,4.016666666666667,"Um, so for example, you know, when um Bob was today talking about short fatty acids. So that's a biomarker. So let's say if we have uh we can build the sensors uh to monitor the level of those uh not in vivo yet, at least at the moment, but definitely in in vitro models. We can also monitor um we can build sensors that they can monitor the permeation of let's say uh uh BBB, the blood brain blood barrier. If there are models, we can build sensors that can be integrated or embedded in that model.",False,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,4.05,"Um they can be tools that can be used to monitor different um monitor changes, right? For example, by change I mean if we want to go with the route that we are co-culturing in vitro uh two different species, for example. And we want to study the effect of if we are changing, I don't know, hormone concentration um in that model.",False,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,4.5,"It could be in vitro or in vivo, like in mouse model. So whatever that design is, then we have to have some path to be able to at least that is um one of one of the things that we discussed is in real time monitor level of those small molecules or those biomarkers in real time without the need to kill them or uh slice the tissue or things like that which is really totally different.",False,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,5.0,"Of course, those approaches are needed to as a standard to compare with, but if we want to see real time what is going on, then those sensors can be integrated or embedded in that in vitro or in vivo model. Of course, it needs to make sure for in vivo it's going to be more complex, but there are methods that you know, I think we have experts uh in the whole uh panel in the whole uh team that they can work on it.",False,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,5.016666666666667,"Um, we have built sensors that we um monitor level of uh hydrogen peroxide and nitric oxide uh from malian cells that were grown on ourselves. So everything is in situ and a lot of work with bacteria cells. So um like both malian and bacteria cells, uh we can integrate our sensors with those um what the question would be what are we targeting exactly? Uh in terms of small molecules, we know some of them. Um, like one example was the you know, the short fatty acid uh short chain fatty acids. Uh, there are also others that, you know, studies show the norepinephrin, epinephrin, serotonin, dopamine, um, they can actually uh in in Parkinson disease patients, I think I was reading. and again I apologize, I'm not the expert in that thing. I'm I'm more like a technology an engineer to build diagnostics. I was reading that all of these um hormones and neurotransmitters, they are studies that they can actually they can uh pass and they can get to the gut and they uh can affect how cells are behaving. Um the virulence factors go up, uh they grow more um and vice versa. What cells produce, like let's say again, these uh short um fatty acids is one of them. How they affect the brain stuff uh brain uh related mechanisms.",True,False,False,False,True,False,0.0,0.0,0.0,784.0
2021_04_22_MND_S1,2021_04_22_MND_S1_MND,Aida Ebrahimi,5.7,"What was that? Sorry, Erin, it was you, right?",False,False,False,False,True,False,0.0,0.0,0.0,784.0
