burst_id,conference,session,center_time_sec,burst_score,num_participants,nearest_speaker,nearest_sentence,nearest_time_sec,sent_time_sec,rel_sec,speaker,sentence,annotations,dialogue_act
15,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,0.1428571428571428,2,Joyce Jose,Thank you so much.,1050.5,1031.8489326765189,-18.65106732348113,Wilfred van der Donk,Is there anything?,"[{'encourage participation': 'Wilfred encourages the group to think about what technologies are missing, inviting them to contribute to the discussion.'}, {'present new idea': 'Wilfred introduces the idea of thinking about what technologies are missing and could be enabling for the problems discussed.'}]",
15,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,0.1428571428571428,2,Joyce Jose,Thank you so much.,1050.5,1032.1911764705883,-18.30882352941171,Wilfred van der Donk,"Okay, we have about 30 seconds left.","[{'express enthusiasm': 'The speaker expresses enthusiasm by saying ""This was uh great guys"".'}, {'express humor': 'The speaker expresses humor by jokingly declaring their group the best and dismissing any potential arguments about it.'}]",
15,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,0.1428571428571428,2,Joyce Jose,Thank you so much.,1050.5,1033.6666666666663,-16.833333333333712,Joyce Jose,Um to actually uh we believe that if you test it in cell culture that's easier first to identify inhibitors or um specifically protease inhibitors or polymerase inhibitors etc.,"[{'present new idea': 'Joyce introduces the use of live cell imaging in her lab to study antivirals and virus replication, which is a novel approach not previously discussed in the conversation.'}, {'expand on existing idea': ""Joyce expands on the idea of biochemical tools to understand how infections cross species boundaries by providing a specific example of using live cell imaging to study antivirals and virus replication, building upon Wilfred's prompt about biochemical tools.""}, {'provide supporting evidence': 'Joyce provides supporting evidence for the effectiveness of their approach by mentioning their success in identifying compounds that inhibit viruses, strengthening the idea of using live cell imaging.'}]",
15,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,0.1428571428571428,2,Joyce Jose,Thank you so much.,1050.5,1034.0682926829268,-16.431707317073233,Danae Schulz,So like change the amino acid that gets placed there and so is that a mechanism by which,"{'ask clarifying question': ""Danae asks Kristen to clarify if RNA modification can change the code, which is a request for elaboration on Kristen's prior statement about modifications in RNA viruses.""}",
15,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,0.1428571428571428,2,Joyce Jose,Thank you so much.,1050.5,1034.1433823529412,-16.356617647058783,Wilfred van der Donk,This was uh great guys.,"[{'express enthusiasm': 'The speaker expresses enthusiasm by saying ""This was uh great guys"".'}, {'express humor': 'The speaker expresses humor by jokingly declaring their group the best and dismissing any potential arguments about it.'}]",
15,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,0.1428571428571428,2,Joyce Jose,Thank you so much.,1050.5,1034.6678445229682,-15.832155477031847,Dana Mitzel,Um Ebola is a big one.,"[{'provide supporting evidence': 'Danae supports her claim about the difficulty of identifying genetic determinants for spillover by mentioning the example of Ebola, where few genetic changes correlate with virulence, and also mentions West Nile and SARS CO2 where changes are being tracked but correlation is difficult.'}]",
15,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,0.1428571428571428,2,Joyce Jose,Thank you so much.,1050.5,1035.7651888341543,-14.734811165845713,Wilfred van der Donk,I mean we already talked about the difficulty to mine current databases.,"[{'encourage participation': 'Wilfred encourages the group to think about what technologies are missing, inviting them to contribute to the discussion.'}, {'present new idea': 'Wilfred introduces the idea of thinking about what technologies are missing and could be enabling for the problems discussed.'}]",
15,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,0.1428571428571428,2,Joyce Jose,Thank you so much.,1050.5,1037.485294117647,-13.014705882352928,Wilfred van der Donk,I'm not going to engage in this fight of chats as to which group was the best.,"[{'express enthusiasm': 'The speaker expresses enthusiasm by saying ""This was uh great guys"".'}, {'express humor': 'The speaker expresses humor by jokingly declaring their group the best and dismissing any potential arguments about it.'}]",
15,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,0.1428571428571428,2,Joyce Jose,Thank you so much.,1050.5,1042.6272084805655,-7.872791519434486,Dana Mitzel,"You know, there's very few changes between something like Reston and a little and a more virulent one and they've tried to make all these changes and they haven't been able to associate it with uh the differences in pathogenesis that they see.","[{'provide supporting evidence': 'Danae supports her claim about the difficulty of identifying genetic determinants for spillover by mentioning the example of Ebola, where few genetic changes correlate with virulence, and also mentions West Nile and SARS CO2 where changes are being tracked but correlation is difficult.'}]",
15,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1050.5,0.1428571428571428,2,Joyce Jose,Thank you so much.,1050.5,1043.375,-7.125,Wilfred van der Donk,Uh you guys were the best and we don't need anybody other people to uh to to uh to fight about that.,"[{'express enthusiasm': 'The speaker expresses enthusiasm by saying ""This was uh great guys"".'}, {'express humor': 'The speaker expresses humor by jokingly declaring their group the best and dismissing any potential arguments about it.'}]",
