burst_id,conference,session,center_time_sec,burst_score,num_participants,nearest_speaker,nearest_sentence,nearest_time_sec,sent_time_sec,rel_sec,speaker,sentence,annotations,dialogue_act
8,2021_06_10_SLU_S1,2021_06_10_SLU_S1,760.9514824797843,0.2,2,Morgan Raven,Um I think there are certainly ways to get false positive on that kind of thing.,760.9514824797843,741.6185983827493,-19.33288409703505,Morgan Raven,"Yeah, I mean I guess I just any place you can get kerogen, you can theoretically crack it and obviously some types of molecules are going to be better for that than others and lipids are the main thing that we're thinking about here, but I mean it took them forever to even figure out uh petroleum was biogenic and they kind of needed biomarkers to do it because there I mean there certainly are theoretically ways to produce stuff like that that would not necessarily require life unless you had some sort of sort of more detailed molecular information about what that is and that could be a bio strictly defined or just something about complexity.","{'expand on existing idea': ""Morgan expands on the idea of using kerogen as a potential biosignature, building on Niki's previous statement about kerogen on Mars and the challenge of distinguishing biotic from abiotic kerogen."", 'provide supporting evidence': 'Morgan provides supporting evidence by mentioning that it took a long time to figure out petroleum was biogenic and biomarkers were needed, implying that detailed molecular information is necessary to avoid false positives.', 'offer constructive criticism': 'Morgan offers constructive criticism by pointing out the potential for false positives when analyzing kerogen, suggesting the need for detailed molecular information to differentiate between biogenic and abiogenic sources.'}",
8,2021_06_10_SLU_S1,2021_06_10_SLU_S1,760.9514824797843,0.2,2,Morgan Raven,Um I think there are certainly ways to get false positive on that kind of thing.,760.9514824797843,742.4210858585859,-18.530396621198406,Jeffrey Marlow,So that's what jumped out at me at least.,"[{'summarize discussion': {'explanation': 'Jeffrey is summarizing the key discussion points to report out, as requested by Richard and Niki in the previous utterances.'}}]",
8,2021_06_10_SLU_S1,2021_06_10_SLU_S1,760.9514824797843,0.2,2,Morgan Raven,Um I think there are certainly ways to get false positive on that kind of thing.,760.9514824797843,744.7012539955741,-16.250228484210197,Jay Forsythe(he/him),I also wanted to related to that.,"[{'explain or define term or concept': 'Jay explains how the history of a meteorite, including heating and melting cycles, affects the organic compounds detected, and also explains the structural isomers of amino acids.', 'provide supporting evidence': 'Jay provides supporting evidence by mentioning the Murchison meteorite and how the alpha amino acids are upregulated in that meteorite relative to other structural isomers.', 'expand on existing idea': 'Jay expands on the idea of delivery versus destruction of building blocks by discussing the limitations of sample preparation techniques and analytical instrumentation used on extraterrestrial rovers, highlighting the complexity of organic analysis.', 'express enthusiasm': 'Jay expresses enthusiasm for the Benu sample return mission, highlighting its potential for in-depth analysis of organic content.'}]",
8,2021_06_10_SLU_S1,2021_06_10_SLU_S1,760.9514824797843,0.2,2,Morgan Raven,Um I think there are certainly ways to get false positive on that kind of thing.,760.9514824797843,745.7346938775511,-15.216788602233237,Erik Sperling,I just want to clarify really quick that oxygen is really important.,"[{'expand on existing idea': 'Erik is building on the previous discussion about the overemphasis on oxygen, clarifying that oxygen is still important but other factors should also be considered.'}]",
8,2021_06_10_SLU_S1,2021_06_10_SLU_S1,760.9514824797843,0.2,2,Morgan Raven,Um I think there are certainly ways to get false positive on that kind of thing.,760.9514824797843,746.2363636363636,-14.715118843420669,Morgan Raven,"And like how much of phosphorus and nitrogen being the story and iron being the story is something we could assume is something fundamental that comes out of continental differentiation and crustal differentiation and how much of it is a weird quirk of the way our minerals work on the surface Earth and I don't know, have you guys thought about that before?","{'present new idea': ""Morgan introduces a new idea about questioning the universality of limiting nutrients like phosphorus, nitrogen, and iron, and whether their importance is fundamental or a quirk of Earth's specific mineral composition, which hasn't been discussed before."", 'ask clarifying question': 'Morgan ends the utterance by asking if others have considered this idea before, seeking to understand if this perspective has been previously explored by the group.'}",
8,2021_06_10_SLU_S1,2021_06_10_SLU_S1,760.9514824797843,0.2,2,Morgan Raven,Um I think there are certainly ways to get false positive on that kind of thing.,760.9514824797843,746.2461059190031,-14.705376560781247,Smadar Naoz,"So not necessarily, I mean, there is a prediction of a lot of free floating planets that usually people think that are completely not interesting, but if this free floating planet isn't actually a very dense area, um and there are lots of stars around, you know, overall it gets uh the temperature that it needs.","[{'present new idea': 'The speaker introduces the idea that tidal effects and the environment of free-floating planets can contribute to temperature, which is an alternative to the common focus on proximity to a star.'}, {'expand on existing idea': 'The speaker expands on the discussion about temperature as a factor for habitability by suggesting tidal effects from exomoons and the environment of free-floating planets as additional factors influencing temperature.'}]",
8,2021_06_10_SLU_S1,2021_06_10_SLU_S1,760.9514824797843,0.2,2,Morgan Raven,Um I think there are certainly ways to get false positive on that kind of thing.,760.9514824797843,747.4010327022376,-13.55044977754676,Jay Forsythe(he/him),I wanted to mention um um uh smarter is it is that right?,"[{'explain or define term or concept': 'Jay explains how the history of a meteorite, including heating and melting cycles, affects the organic compounds detected, and also explains the structural isomers of amino acids.', 'provide supporting evidence': 'Jay provides supporting evidence by mentioning the Murchison meteorite and how the alpha amino acids are upregulated in that meteorite relative to other structural isomers.', 'expand on existing idea': 'Jay expands on the idea of delivery versus destruction of building blocks by discussing the limitations of sample preparation techniques and analytical instrumentation used on extraterrestrial rovers, highlighting the complexity of organic analysis.', 'express enthusiasm': 'Jay expresses enthusiasm for the Benu sample return mission, highlighting its potential for in-depth analysis of organic content.'}]",
8,2021_06_10_SLU_S1,2021_06_10_SLU_S1,760.9514824797843,0.2,2,Morgan Raven,Um I think there are certainly ways to get false positive on that kind of thing.,760.9514824797843,747.8000000000001,-13.15148247978425,Noah Planavsky,I'd take another minute.,"{'express frustration': 'Noah expresses frustration with the pace of the meeting, indicating he needs more time to complete the task.'}",
8,2021_06_10_SLU_S1,2021_06_10_SLU_S1,760.9514824797843,0.2,2,Morgan Raven,Um I think there are certainly ways to get false positive on that kind of thing.,760.9514824797843,748.719387755102,-12.23209472468227,Erik Sperling,"It's just you know, there's other things as well.","[{'expand on existing idea': 'Erik is building on the previous discussion about the overemphasis on oxygen, clarifying that oxygen is still important but other factors should also be considered.'}]",
8,2021_06_10_SLU_S1,2021_06_10_SLU_S1,760.9514824797843,0.2,2,Morgan Raven,Um I think there are certainly ways to get false positive on that kind of thing.,760.9514824797843,748.8,-12.151482479784363,Noah Planavsky,Sorry.,"{'express frustration': 'Noah expresses frustration with the pace of the meeting, indicating he needs more time to complete the task.'}",
